SeasonEpisode	Scene ID	Token ID	Word Form	POS Tag	Constituency Tag	Lemma	Frameset ID	Word Sense	Speaker	Named Entity Tag	Entity ID	Sentence
/friends-s01e01	0	0	There	EX	(TOP(S(NP*)	there	-	-	Monica_Geller	*	-	1
/friends-s01e01	0	1	's	VBZ	(VP*	be	-	-	Monica_Geller	*	-	1
/friends-s01e01	0	2	nothing	NN	(NP*	nothing	-	-	Monica_Geller	*	-	1
/friends-s01e01	0	3	to	TO	(S(VP*	to	-	-	Monica_Geller	*	-	1
/friends-s01e01	0	4	tell	VB	(VP*)))))	tell	-	-	Monica_Geller	*	-	1
/friends-s01e01	0	5	!	.	*))	!	-	-	Monica_Geller	*	-	1
												2
/friends-s01e01	0	0	He	PRP	(TOP(S(NP*)	he	-	-	Monica_Geller	*	-284	2
/friends-s01e01	0	1	's	VBZ	(VP*	be	-	-	Monica_Geller	*	-	2
/friends-s01e01	0	2	just	RB	(ADVP*)	just	-	-	Monica_Geller	*	-	2
/friends-s01e01	0	3	some	DT	(NP(NP*	some	-	-	Monica_Geller	*	-	2
/friends-s01e01	0	4	guy	NN	*)	guy	-	-	Monica_Geller	*	-284	2
/friends-s01e01	0	5	I	PRP	(SBAR(S(NP*)	I	-	-	Monica_Geller	*	-248	2
/friends-s01e01	0	6	work	VBP	(VP*	work	-	-	Monica_Geller	*	-	2
/friends-s01e01	0	7	with	IN	(PP*))))))	with	-	-	Monica_Geller	*	-	2
/friends-s01e01	0	8	!	.	*))	!	-	-	Monica_Geller	*	-	2
												3
/friends-s01e01	0	0	C'mon	VB	(TOP(S(S(VP*))	c'mon	-	-	Joey_Tribbiani	*	-	3
/friends-s01e01	0	1	","	","	*	","	-	-	Joey_Tribbiani	*	-	3
/friends-s01e01	0	2	you	PRP	(NP*)	you	-	-	Joey_Tribbiani	*	-248	3
/friends-s01e01	0	3	're	VBP	(VP*	be	-	-	Joey_Tribbiani	*	-	3
/friends-s01e01	0	4	going	VBG	(VP*	go	-	-	Joey_Tribbiani	*	-	3
/friends-s01e01	0	5	out	RP	(PRT*)	out	-	-	Joey_Tribbiani	*	-	3
/friends-s01e01	0	6	with	IN	(PP*	with	-	-	Joey_Tribbiani	*	-	3
/friends-s01e01	0	7	the	DT	(NP*	the	-	-	Joey_Tribbiani	*	-	3
/friends-s01e01	0	8	guy	NN	*))))	guy	-	-	Joey_Tribbiani	*	-284	3
/friends-s01e01	0	9	!	.	*))	!	-	-	Joey_Tribbiani	*	-	3
												4
/friends-s01e01	0	0	There	EX	(TOP(S(NP*)	there	-	-	Joey_Tribbiani	*	-	4
/friends-s01e01	0	1	's	VBZ	(VP*	be	-	-	Joey_Tribbiani	*	-	4
/friends-s01e01	0	2	got	VBN	(VP*	get	-	-	Joey_Tribbiani	*	-	4
/friends-s01e01	0	3	ta	NN	(S(NP*)	ta	-	-	Joey_Tribbiani	*	-	4
/friends-s01e01	0	4	be	VB	(VP*	be	-	-	Joey_Tribbiani	*	-	4
/friends-s01e01	0	5	something	NN	(NP(NP*)	something	-	-	Joey_Tribbiani	*	-	4
/friends-s01e01	0	6	wrong	JJ	(ADJP*	wrong	-	-	Joey_Tribbiani	*	-	4
/friends-s01e01	0	7	with	IN	(PP*	with	-	-	Joey_Tribbiani	*	-	4
/friends-s01e01	0	8	him	PRP	(NP*))))))))	he	-	-	Joey_Tribbiani	*	-284	4
